College,Degree,Hours_Required,Categories,Delivery,Delivery_Method_1,Delivery_Method_2,Delivery_Method_3,Category_1,Category_2,Category_3,On-Campus,Online,Hybrid,Minor,Major,Undergraduate,Certificate_Endorsement,Associate,Graduate
College of Education,EDAS: District Level Leadership Graduate Certificate,18,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,EDAS: Program Administrator Graduate Certificate,18,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,Education Graduate Certificate,12,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,Elementary Education (Associates),61,"Associate, Undergraduate",On-Campus,On-Campus,,,Associate,Undergraduate,,Yes,No,No,No,No,Yes,No,Yes,No
College of Education,Elementary Education (K-6 STEM),120,"Major, Undergraduate","Hybrid, On-Campus",Hybrid,On-Campus,,Major,Undergraduate,,Yes,No,Yes,No,Yes,Yes,No,No,No
College of Education,English (Education),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Education,Exercise Science (Pre-Professional),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Education,Exercise Science (Strength & Conditioning),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Education,Foreign Language (Spanish Education),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Education,Instructional Design Graduate Certificate,21,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,Instructional Facilitator / LEAD Teacher Graduate Certificate,15,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,"Instructional Facilitator / LEAD Teacher, M.Ed.",30,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
College of Education,K-12 Physical Education and Health,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Education,Library Media & Information Specialist Graduate Certificate,24,"Certificate / Endorsement, Graduate",Hybrid,Hybrid,,,Certificate / Endorsement,Graduate,,No,No,Yes,No,No,No,Yes,No,Yes
College of Education,"M.Ed., Higher, Adult, and Lifelong Education (HALE)",30,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
College of Education,Master of Arts in Teaching,30,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
College of Education,Master of Education (Library Media and Information Specialist),30,Graduate,Hybrid,Hybrid,,,Graduate,,,No,No,Yes,No,No,No,No,No,Yes
College of Education,Master of Education (School Counseling),48,Graduate,Hybrid,Hybrid,,,Graduate,,,No,No,Yes,No,No,No,No,No,Yes
College of Education,Master of Education in College Counseling and Student Affairs,51,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,Master of Education in Educational Leadership in Administration and Supervision,30,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
College of Education,Master of Education in Special Education,30,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
College of Education,Master of Science in Clinical and Mental Health Counseling,60,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
College of Education,Master of Science in Kinesiology – Coaching,33,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
College of Education,Mathematics with Education Minor,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Education,Middle School Education,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Education,Middle School Education (Associates),61,"Associate, Undergraduate",On-Campus,On-Campus,,,Associate,Undergraduate,,Yes,No,No,No,No,Yes,No,Yes,No
College of Education,Middle School Education (STEM),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Education,Music Education (Instrumental) BFA,125,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Education,Music Education (Vocal) BFA,124-125,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Education,School Counseling Graduate Certificate,12,"Certificate / Endorsement, Graduate","Hybrid, Online",Hybrid,Online,,Certificate / Endorsement,Graduate,,No,Yes,Yes,No,No,No,Yes,No,Yes
College of Education,Special Education K-12 Graduate Certificate,24,"Certificate / Endorsement, Graduate",Online,Online,,,Certificate / Endorsement,Graduate,,No,Yes,No,No,No,No,Yes,No,Yes
College of Education,Sport Management,120,"Major, Minor, Undergraduate",Online,Online,,,Major,Minor,Undergraduate,No,Yes,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Comparative Literature,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Criminal Justice,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Cyber Criminology,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,English,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Education,English (Education),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,English (Writing),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Foreign Language,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Education,Foreign Language (Spanish Education),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Foreign Language (Spanish),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,"Game, Animation, and Simulation BFA",121,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Graphic Design BFA,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,History,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,History (Social Studies Education),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Interactive Media,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Mass Communication (Mass Media),120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Master of Public Administration,36,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
Dempsey College of L&PA,Master of Public Administration (4 + 1 program),120 + 36,"Graduate, Undergraduate",Hybrid,Hybrid,,,Graduate,Undergraduate,,No,No,Yes,No,No,Yes,No,No,Yes
Dempsey College of L&PA,Master of Public Administration with Social Entrepreneurship Emphasis,36,Graduate,Online,Online,,,Graduate,,,No,Yes,No,No,No,No,No,No,Yes
Dempsey College of L&PA,Minor in Africana Studies,18,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Art History,18,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
